paper	paper_folder_id	response_folder_id
emnlp24_doc13	13IBGi6WVMsUlisDWA81yhLKrBeojfvTx	1Vng16bU1FvOFWhHHeTZvk870A2WUA2TW
emnlp24_doc15	1sZoYbkcU7Bwo7lZcoQFR78DTNJ45d79B	1pvGOiC-nYVkFgJCDp2vHednfLpCNK_Eg
emnlp24_doc28	1gUckKouB4GaFm8aP06A25usybybEmOyb	1pbJpsusV0iBjbyI145IPt69JR41rXECZ
emnlp24_doc33	1pdF71xCpacEcgyOImwF1te88_TEFXX9R	1Hm5me8-Gahz23BoYJbzGBI61K2gRefpR
emnlp24_doc46	1hbC2isPcrboxMWVUZEEP0j2MptbQ_Bc_	1VvloBCzQlCqT0FZJvFr9yiyZ-9kMP2A2
emnlp24_doc51	1ATjAn9VP2PFeCyt9xDiTMov7PA9bBEli	1hLwK6yklwIzhKj2R2iUevTpvA1kMQaf7
emnlp24_doc61	15nthqx66HT5L1uCVtnB2L9ZN2stjwkMm	1zGoNTnVqKcTk-IZQaEQhPsgq_N0Ju-Mw
emnlp24_doc85	15mYkqWT9WDv5hKUZe3yCzY5UpHq9nQt5	1NlVajFMw-mtAvWm5RyaH2sx5OSJPeZaK
emnlp24_doc86	1nYWoZvXaofMigQDun76L3ThRdiZkgXnv	1aqnHaGdO89lquiJgaX2RJ9GQV2-fXseo
emnlp24_doc87	1lN5f90emK69tYsLe3ayR5asJHkU2PwDM	1fZI7SjVqkzNhwTQXXGvTU1nlgHSAu7KV
emnlp24_doc91	10I6JtsjqryO0NbAfez2ekbhhdfaG87fm	199UnBMVXEejtUfLLG_6i-wql_UWfSx8h
emnlp24_doc99	1jSnuNaEHtlmmNnotCO2HTiMJeNq8kbOB	1YegOtxWcCC3BCbQKXkUv2AciXNWMgZke
emnlp24_doc103	1buZd806fzTMYCWeE2G0JZmJiECTEnILF	1cLchhb0yCZyH2EG2W1IXxPabzV_vq8f8
emnlp24_doc139	1q26nUsirdqzQVO0HNMV9d_pE6FYlgyA-	1oTi4Shu__OeXF7Z1YQdplvu9gbgv701M
emnlp24_doc141	1BgxzXgax-QikvvORCsYKlQyLrWfAT7Mm	12G82YlXdhgVuJCvJ1M2Z2qIfOOc5JWJR
emnlp24_doc146	1XxDTmMPor98w7v4YhL52lc6-UZqyhcsW	1HtyyVcwSaJCelNXkglXwiGeCaHa0bttq
emnlp24_doc153	1ym5tNy3LfBesYFA0mlv4k790T_Tdcd4Q	1hLUZHfKpmHZK0sA9P0iLcxP2NrDWao_9
emnlp24_doc159	1IVDxpvnDErBV3HNPu9l-GIRj-ZMvTY1M	1PO98rV4HlZSZx7V4RACZWCocZ16TGqX4
emnlp24_doc173	1RleivIojjW3r6gxrh3EIQ33up54sKYAu	1dZxXbgBwRk165L1xGvIaCHcWETrfjbe-
emnlp24_doc180	1adacZvUR1PipQBHVjqQGfIzzqrn6Jlx6	1ha8mS2UcANOZfbOSwq95D2jUd6xIYK8a
emnlp24_doc185	1mjcewNC7mGOs4CIcvOpVeADxx0TNL0A5	1QyXJTbsezp2P4R-3aSJaT8Rnz5END4yx
emnlp24_doc192	11Bs1NKQoCMN08kGIO3IJAXO1rmVJ0jlO	1OCngEQLYC-Duu1BXKjXpPltSbayguSzL
emnlp24_doc193	1XendJpH-VgmS8wFqxCswKzLcJ1uOnWWl	1K9mvG_QK5aNeP2EVL2dQu3IX7fWwrpX6
emnlp24_doc199	1EyaEodbd5eqmmOy11_noU_L3pI7632ij	1GW8taPo5n4yLn7MRtHPOkkm9j16zwjBQ
emnlp24_doc219	1PGqjhMnujtnlgk8kua7cnsHuVLfzr7GG	1SsEqB70h0eQfSOqNLJKhbM9jAs_S34ef
emnlp24_doc220	19zQVWVfgXWoMiTShEdm3WjOW3JBGRWzA	1UvZMZ-NKIYaNKdHwa1ZGCZa3Mxt3-AWT
emnlp24_doc221	1f24jF_R4xMAG0l7zQUOqOAYy5ak1SBnT	1NlS3v3HAgHu0jZFF6c6GDqcp26daXqMr
emnlp24_doc223	1moFvSP_FlkHvWW0gwhVfX9mnHjxsnSYE	1g_O1TQk5AFT4LzuendPsUedV2HFpb3Oc
emnlp24_doc230	1g1HACjfkKYD6j8MJW1oQxvfWXwATIpUm	12tkpu32YajQG5dCkCU9cAfll-5K5PTLx
emnlp24_doc236	1ObnsrBYqG40jh_lZIeqDcHQUUp7Tix0e	1bNDNLCJWuCw9HrShPuULWxzfUUWzYnsR
emnlp24_doc238	1KPQgrQUqDdluEFZYwtWCCrReEP9a_Nvt	1ciAhHs8UtDUWGpmRslbzG2yJPj6BcxXa
emnlp24_doc249	1YgOnr40WSKd4Fc3AeBI5QJBYR1gKYBkw	1G0sCzQtSpcOS0BWy-k4ua5waAXLeOiL9
emnlp24_doc259	1CDJ7sisUbDHC9j6LKbcJo2U5Ph6mTpen	1Bg0IzEdklU7PvoYaqgOUSyaX5M1sCG6c
emnlp24_doc263	1qUdV3XncdqaRha1ZxMAWReV36339VmJd	1pQKXgfK361sd6WPGB-DknfQAZw6nqQnT
emnlp24_doc301	1CNtd9ySBjqMdvt4kUV-JSgouQtdkPCF8	1gv38UljoPOUM8GE-UbOO_x1QnIoI8IzH
emnlp24_doc303	1tBK0eTRL-GvuXecTchBiMfyMrhf56fIs	1FtYCJrX9342YOqmk6b4hA0G3JTYZ6H_V
emnlp24_doc304	1uZzjmr7caLKHWQPrGKi0R-mUG7ExmNEB	1lMwnFssvI7KKdfdYRQnYl7HJE5dmfrrX
emnlp24_doc311	1gzzYD8pu76HQx23fqN336V7NzBB3WB2w	1TOur785PEKVhum9jfRonvWWGl_bTeJt1
emnlp24_doc317	16y1Ri5wI4CCSA2o8nWrf3JzocWZ-U56n	1sjN1tNIUV75GM1wYFP5hdHe7c9pa80z-
emnlp24_doc326	1Bo-ngOShw-nGfV4heRnTFRi2LB7DCH2l	1oWP_fmyHMenADnluHNUt3cuVNuIWxJ97
emnlp24_doc330	1oy8TSGL3_BJvvGL4tW5cx_6fFF1hjxeV	15j-wiWmRZF4Ntyn5j8tGXJ2s_Cvrg_fX
emnlp24_doc333	1skSp04026cuKLWIoXv5fTkiEvC763jEy	1MGGCWdW-dnNf_eC76Ud1Lo1XzA1KjmdH
emnlp24_doc343	1Wuh5fWDHWNuTJTtvCGYiAhGBUrOdRnI9	1AJ0S7SabmYgo1iA7OC4T3db9NuYFLocP
emnlp24_doc349	1OxIPdsJoydgFW-h74eJQ5CZapjlQmajF	1CEieOpOQjId3HzbT5oMrCwbxiOciNjam
emnlp24_doc350	1QoZtKDm3AhaAr4gzcCElJay68CsA6NKr	1CoBeyu0oX8euCBsmpGZ0OPuFbhBgFsg3
emnlp24_doc353	1oI3YeFRdAdMeUBe6pmKJ5i8w87FpgrIW	1bv5e6JPGu1xCN0sAD7XQm3N1Y7hRHMIh
emnlp24_doc387	15boblVv8AZce4EQXiy_CCF-LWvjKHuPX	1btEzqKMWOMVYEQxFLmp9wq6J9hUI3bvv
emnlp24_doc393	16pT6Xdqrz9f5nLOsQh3VgrEyI5BLoFEB	1ZKK-YHWoKZBtJ3idaJ231sLHXyW-lZYL
emnlp24_doc400	1NlxGDNxe3p8UWL-ZG2ObUo3SifcgmL_i	1oKn1KaKkb_mrxttQaWNaAVa9AgQTbwP0
emnlp24_doc409	1ut1X-IC6y9R89ETtUtKXVPhQBtBIrFlX	1v2M9vHx8uus_8uAlcDBs1nT7vhwHeV_d
emnlp24_doc443	1bxRiElCbZwyXieRWWvGM6iTDqaCKP9MU	1pYJh_Phc9Khw0r8dSwl6iODxpFQr1JpP
